源 32×280

| 行 | 本体像素 | 闪光像素 |
| 263 | 28 | 0 |
| 264 | 32 | 0 |
| 265 | 32 | 0 |
| 266 | 32 | 0 |
| 267 | 32 | 0 |
| 268 | 32 | 0 |
| 269 | 32 | 0 |
| 270 | 32 | 0 |
| 271 | 32 | 0 |
| 272 | 30 | 0 |
| 273 | 30 | 0 |
| 274 | 24 | 0 |
| 275 | 24 | 0 |
| 276 | 16 | 0 |
| 277 | 16 | 0 |
| 278 | 8 | 0 |
| 279 | 8 | 0 |

本体行段（10 段）：[(0, 23), (30, 53), (58, 81), (89, 112), (117, 140), (145, 168), (173, 196), (201, 224), (229, 252), (256, 279)]
段高：[24, 24, 24, 24, 24, 24, 24, 24, 24, 24]

帧 0：本体 0..23 ｜ 本体上方 4 行里的闪光 0 像素 ｜ 下方 4 行里 0 像素
帧 1：本体 30..53 ｜ 本体上方 4 行里的闪光 0 像素 ｜ 下方 4 行里 0 像素
帧 2：本体 58..81 ｜ 本体上方 4 行里的闪光 0 像素 ｜ 下方 4 行里 0 像素
帧 3：本体 89..112 ｜ 本体上方 4 行里的闪光 0 像素 ｜ 下方 4 行里 0 像素
帧 4：本体 117..140 ｜ 本体上方 4 行里的闪光 0 像素 ｜ 下方 4 行里 0 像素
帧 5：本体 145..168 ｜ 本体上方 4 行里的闪光 0 像素 ｜ 下方 4 行里 0 像素
帧 6：本体 173..196 ｜ 本体上方 4 行里的闪光 0 像素 ｜ 下方 4 行里 0 像素
帧 7：本体 201..224 ｜ 本体上方 4 行里的闪光 0 像素 ｜ 下方 4 行里 0 像素
帧 8：本体 229..252 ｜ 本体上方 4 行里的闪光 0 像素 ｜ 下方 4 行里 7 像素
帧 9：本体 256..279 ｜ 本体上方 4 行里的闪光 6 像素 ｜ 下方 4 行里 0 像素
